time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.72,     5.845,     0.481,     8.561   1431.454   3553.299   3054.811   2119.307
0.78,     6.113,    -0.388,     9.571   960.127   3574.177   2988.484   2419.683
0.84,     5.797,    -1.540,    10.745   1243.501   3574.038   2891.085   1858.506
0.06,    -0.118,     0.048,     1.119   1655.265   1846.076   1611.742   1632.967
0.12,    -0.193,     0.166,     1.074   1325.332   2293.153   2127.167   1509.335
0.18,    -0.341,     0.116,     0.922   1358.166   2234.726   2103.027   1698.649
0.24,    -0.677,    -0.056,     1.105   1371.903   2380.600   2117.864   1636.410
0.30,    -0.864,    -0.448,     1.107   1381.292   2251.983   1982.954   1715.554
0.36,    -1.009,    -1.055,     1.028   1002.146   2460.937   1870.427   1660.636
0.42,    -0.832,    -1.592,     0.815   1295.323   2367.881   1550.015   1688.557
0.48,    -0.779,    -2.194,     0.266   868.527   2468.880   1320.324   1859.892
0.54,    -0.695,    -3.062,     0.000   851.489   2502.653   1194.622   1593.166
0.06,     0.043,     0.039,     1.104   1654.280   1811.888   1591.356   1631.064
0.12,     0.028,     0.203,     1.259   1331.069   2315.433   2020.475   1518.558
0.18,    -0.280,     0.316,     1.130   1471.609   2241.170   2132.105   1587.805
0.24,    -0.611,     0.353,     0.969   1449.209   2223.828   1908.403   1651.552
0.30,    -1.071,     0.577,     0.679   1210.999   2232.260   2371.437   1706.520
0.36,    -1.564,     0.631,     0.210   1206.614   2004.684   2190.387   1470.136
0.42,    -2.238,     0.635,     0.000   1226.680   2273.642   2069.037   1791.528
0.06,     0.057,     0.001,     1.191   1653.138   1787.742   1590.700   1638.589
0.12,     0.127,    -0.154,     1.569   1025.936   2066.909   2299.877   1612.473
0.18,    -0.089,    -0.558,     1.966   884.541   2371.859   2300.009   1684.020
0.24,    -0.234,    -0.947,     2.098   1085.784   2072.246   1871.820   1444.008
0.30,    -0.317,    -1.258,     2.048   1075.231   2153.962   1974.330   1560.041
0.36,    -0.504,    -1.429,     1.809   1125.249   2382.382   1576.697   1635.944
0.42,    -0.586,    -1.705,     1.541   1208.955   2425.173   1394.610   1766.040
0.48,    -0.559,    -2.164,     1.343   873.216   2480.332   1639.884   1786.139
0.54,    -0.481,    -2.475,     1.166   874.537   2495.367   1336.844   1744.718
0.60,    -0.533,    -3.006,     1.071   1026.026   2342.150   1147.540   1770.535
0.66,    -0.931,    -3.493,     0.965   1382.789   2266.989   941.994   1707.340
0.72,    -1.670,    -3.866,     0.580   972.622   2447.950   726.926   1986.818
0.78,    -2.496,    -4.223,     0.000   989.205   2518.865   620.006   2173.151
0.06,     0.018,    -0.036,     1.270   1653.389   1735.945   1596.603   1619.808
0.12,    -0.237,    -0.093,     1.735   1064.877   2137.424   2560.197   1536.142
0.18,    -0.799,    -0.196,     2.447   1115.160   2051.380   2096.378   1634.940
0.24,    -1.800,    -0.643,     3.210   1364.037   2061.805   2053.216   1641.509
0.30,    -3.203,    -1.244,     3.869   1597.241   2260.981   1794.532   1744.967
0.36,    -4.764,    -2.062,     4.317   1077.611   2534.197   1815.315   2137.200
0.42,    -5.959,    -2.891,     4.980   1013.767   2919.536   1370.104   2506.868
0.48,    -6.429,    -3.788,     5.968   992.845   3240.321   655.852   2837.691
0.54,    -6.749,    -5.193,     6.887   1067.503   3440.842   333.167   3064.255
0.60,    -7.071,    -6.464,     7.763   986.204   3536.912   221.210   3148.036
0.66,    -6.979,    -7.346,     8.372   930.834   3564.280   133.728   3333.525
0.72,    -7.027,    -8.398,     8.368   760.373   3578.515    75.183   3407.716
